topic,Text
2,"This is excellent for a baby's first taste. The pouch size is perfect and it actually lasted me two days, as my baby is still just learning to eat solids, therefore didn't have it all. The top makes it easy to refasten, so it doesn't go to waste and can be used again. I love the pouch, it's easy to get all the product out wihtout making a mess."
0,"This was the first revolution tea flavor I ever tried, and it made me fall in love with the brand.  Having tried about half of revolution tea's line, I'd rate my favorites in order > Acai Green > Tropical green > Chocolate Orange Green > White Pear > Sweet Ginger Peach.  I'm more of a green and white tea fan, though, so your experience may differ."
2,"I make a lot of my own baby food, but was not about to make a meat baby food. After buying a few different purees, I tried Chick Chick.  My fussy 9 month old LOVED it instantly. I don't know if it is the flavor or the texture (nice with some small bits in it), but she gobbles it down.  It is worth the price (especially if you do subscribe and save) and I am pleased that she is getting a high quality protein meal and I don't have to puree chicken!"
0,Great tasting tea I have been looking for a good  Sassafras tea forever.Finally. I will be ordering this product again .<br />Thanks Kim:D
2,"My little one loves froose! It's expensive at our grocery store, $4 for a 4 pack. We use it sparingly. If our little one wakes up too early and has already nursed, he'll have a froose and go back to sleep. When he was sick, it was the only liquid other than nursing that I could get in him. I buy the pear flavor because it has less sugar than the others by froose. I like that it is more nourishing and substantial than other juices. It is thicker and ""syrupy"", but that's not a problem unless you have a box squeezer. That could be solved by placing the juice box in a small cup. Someone taught me this trick. :)<br />Love pear froose!"
4,"My cat will only eat the Whiskas Choice cuts with beef.  My local stores quit carrying this product and I bought any cat food similar to it, regardles of price.  My cat ate only dry food for two months or more.  He lost weight that he can't afford to lose. I am so happy that I found this Whiskas item on Amazon."
4,"Of course, nobody can ever figure out what cats will like, but our experience is the opposite of the one-star review.<br /><br />Our two Bengal cats ate kibble for years, but after some serious teeth problems, they had to switch to canned food. We tried a few different brands and flavors. They'd eat it for a few days, then turn up their noses. Even expensive food from the vet's did not please them.<br /><br />So, we tried the Friskies Sea Captains Choice flavor, and they went nuts, gobbling it down like candy. We only bought a few cans at a time, figuring they would tire of it, but no, they have been eating it with gusto for a coupe of months now, so we buy it by the case.<br /><br />I don't understand about it not smelling good; perhaps they got a bad batch, but it smells like other cat foods to us, and the pate is easy to dish out. As long as the cats love it, who are we to complain?"
0,I love this tea.  I have issues with added flowers and flavorings in other teas and Revolution teas tell you exactly whats in it and there are no additives!  I have been ordering from them ever since my first box of tea.  I take it to the office and I have a travel container and take it with me to restaurants.
2,"I purchased the baby white by accident.  We usually get the medium white, which is great.  The baby is so small when popped that the taste and texture of the hull shell really overwhelm it."
1,"A nice juice drink, but it just didn't grab me like other flavors did. I would probably not purchase it in the future, though I did not dislike it. Like I said, it just didn't grab me."
0,"The best tea for ice tea.  A little harder to use than bags, but the taste is so much better.  I make mine in an ice tea pot and it's always perfect.  I've been drinking it all my life and the quality is always wonderful."
3,"My husband and I really like this cocoa.  I add extra milk to my cup for a creamier flavor, but the convenience cannot be beat."
4,"I am trying to feed our two new (to us)kitties healthy cat foods and have tried a few varieties.  The cats prefer Before Grain and Wellness.  They wouldn't touch Spot's Stew.  One cat prefers fishy foods and the other fowl.  We have tried the turkey and Beef (I ordered Bison, but upon looking at the ingredients listed at [...] they listed only beef and my cans arrived labeled BEEF).<br />I think they liked the Beef a little better.  I admit, it smells better than most cat foods.  They prefer it at room temp.<br />The reason I listed the lack of fiber is that one of the cats has taken to ripping up the carpet with his teeth!  I have read that it may be an indication that he needs more fiber. (The cats were declawed by their previous owners- not us.)<br />Both cats were a little over weight when we adopted them.  One seems a bit slimmer now, the other, I'm not sure.<br />I do recommend the foods.  Even with the seemingly high cost, this is MUCH cheaper per ounce than the Whiskaa pouches we used to buy for our late kitty and has no by-products."
1,"I tried two flavors of Switch; the Orange Tangerine and the Watermelon Strawberry. I liked the watermelon flavor a lot, but found that with Orange Tangerine, the flavor of the can came through a bit too much. It reminded me of why I've never really enjoyed drinking canned orange juice. Still, it was fairly good and the carbonation made it light and refreshing. Both flavors were a big, big hit with my 8 year-old son."
1,"Like the SWITCH beverage I previously reviewed, this is a moderately tasty drink.  The balance of the carbonation and the fruit juice is decent enough, giving more of a tickle to the tongue than the rush of bubbles that soda usually gives.  It's definitely a lot more like juice than soda, which goes against its purpose of being a replacement for soda.  Overall, it's pretty drinkable, but I would never seek this beverage out.  There are better juices, and there are better sodas.<br /><br />One major plus, though, was that it wasn't as thick and syrupy as the Watermelon/Strawberry SWITCH.<br /><br />6/10"
0,"I read many of the reviews and had mixed feelings about this product. I am glad I decided to purchase it anyway. The tea definitely cleanses you inside and out IF you follow the packaging instructions. Plus, it tastes great. I will continue to purchase more when my supply runs low."
0,"This is a pleasant tea, it tastes mostly of chamomile.  Unfortunately for me, it doesn't do too much to squelch heartburn.  I'm now 36 weeks along and have had heartburn almost the whole time, and I was hoping this would help out but it really hasn't had an effect. I do like the tea just as a mild beverage, but I can't recommend it for pregnancy related heartburn."
0,"You will not find a better loose green tea for the price.  I was able to get free shipping as well since I bought it with something else that totaled over $25.  This is the tea used by many Japanese people.  Do not fall for those high-priced ""organic"" green teas produced by American companies.  They are good...but you are not getting anything better than Hime Ban Cha Tea."
2,"Organic, and loaded with calories, fat and protein, this the ONLY baby food with meat that my picky little one will happily eat.  I've found that very few groceries carry this near my home (and I live in metropolitan Seattle) and so I've resorted to ordering it by the case from Amazon.  The free 2 day shipping Rocks!"
2,"My pediatrician suggested increasing my 3 year old's protein, and try upping the fish. I saw these online and saw they have a ton of protien, and were salmon.<br />They arrived in the mail right away, and my 3 year old is not a big fan. She loves the Plumb brand fruit and veggie pouches and likes to suck them straight from the pouch. It is not very easy to suck it straight out of these pouches. I have been able to cut a small spot on the corner to make it work, but putting it in a bowl and using a spoon made it loose much of the thrill.<br />My 18 month old likes them, but I'm not sure I'll get my older one on the band wagon."
1,"I tried this Root beer for the first time about a week ago. I had been drinking Zevia Root Beer (which is really good, too), but decided to start buying this brand, instead. I love the taste of both, but this one has a creamy taste to it which I prefer. I was so glad to find sugar-free sodas that didn't have all those nasty artificial sweeteners in them!! I highly recommend Blue Sky Free (and Zevia, as well). Oh, and the Blue Sky Free Cherry Vanilla Creme is awesome!! The only ones I don't personally recommend are the colas in either Zevia or Blue Sky free brand.. they are bleh, but that's just me."
2,My baby loves Rice and Lentil and is one of her favorite things to eat.  If we are going somewhere I won't be able to warm the food she will eat this one cold.
2,"Kids love it, Mom & I love it, and even the dog loves it!  Whether it's for breakfast or just munching on a couple of handfuls for a snack, Cinnamon Life satisfies the hunger crave in all of us!  The sweet cinnamon taste seems to really appeal to breakfast cereal eaters alike.  The only slight complaint I have is it gets soggy really fast, so I try not to put a lot of milk on my cereal."
1,"So I let my girls drink this and tell me what they thought. They loved it, hand down. I liked it also and would like to grab more. The label says no artificial sugars and 100% juice. If thats true its great - it is very sweet tasting and very very flavorful. The carbonation adds a nice kick also."
4,"I finally did the research on this temptation treats and I'm glad to see that my suspicions are correct. I have been buying this treats for my kitty for years and suspected them all along to be the cause of him vomiting. Ironically, I even bought the hairball ones to see if they would make him stop vomiting. Now is official, I stopped giving them to him as often, and then monitored him whenever I gave him any. It soon became clear to me that he only vomits whenever I give him this treats. Sometimes he would vomit within minutes, and other times he would vomit during the night or the next morning, but if I give him this treats, I'm sure to be cleaning up orangee throw up off my carpet soon after.  I think is a matter of allergy or sensitivity to one of the ingredients, and they probably don't do anything to other cats but I'm never buying this again for my kitty."
0,"A friend who'd been drinking tea for 80 of his 84 years introduced me to this tea a few months ago. Even took me over to the store and bought me a pound. At $7/lb. in a retail store or a little over $9 with shipping from an online merchant, I think it's great. I've been drinking Earl Grey, English Breakfast, Irish Breakfast, Lapsang Souchong, Assam, etc. Most of them were over $30/lb. with shipping. Aside from the Lapsang Souchong, I think this is a great replacement for all the rest. Has everything I'm looking for in a strong, full-bodied black tea with enough character to keep it from becoming boring. My current favorite afternoon tea. Unless you're extremely jaded or a tea snob, you'll love it."
1,"I drank a single can of the Switch Orange Tangerine flavor today.  Upon first impression, the physical size of the can is a tiny -- 8oz or 250ml.  This in contrast to a regular can of soda size which is 12 ounces or 355 ml.  Therefore, only about 2/3 the content of a normal can of soda.  To say the least, this isn't enough liquid for me in one sitting.  I need more to drink than that to quench a tiny bit of thirst so I was quite disappointed without even opening the thing up.<br /><br />The taste of the drink itself was satisfying.  Since there is no added sugar (which is usually corn syrup in the US) the flavor was not too sweet nor was it too bland.  However, it wasn't anything like drinking a fresh bottle of 100% natural juice.  More on the side of mixed syrup with water.<br /><br />What kills this product is the high price.  Product right now comes out to about a buck a can.  I would be angry paying that out of a vending machine for its small size but for purchasing in bulk, it is an insult to say the least.  Not worth the money."
0,"Our Minneapolis Indian shops stopped selling Darjeeling tea over a year ago. I love this tea as it tastes like the stuff I grew up drinking in England, altho I drink this black, no sugar.<br /><br />A year ago, I bought a couple of pounds online for $15/pound including shipping. I have done a lot of searching to find out why Darjeeling has seemingly disappeared. The Indian grocers are mystified, and online there is no clue. Apparently, green label Darjeeling is Lipton's most popular tea. Hard to believe if people can't actually purchase it. The name changed from Lipton Green Label to Lipton Finest Darjeeling.<br /><br />iShopIndian has 250g for $6.99 but have a flat shipping fee of $10, so one would want to buy several boxes. I have not bought through this vendor, but I plan to.<br /><br />I have a friend visiting India and hope she will find room in her suitcase to bring me back a pound (or 3). I plan to ask if there is a shortage in India.<br />Good luck finding this tea at an affordable price!"
1,"In the Beginning there was Fruit Juice, and there was Soda Pop, and never the twain should meet... unless you mixed them yourself. But then somebody got the Great Idea -- when reconstituting fruit juice after Pasteurization, why not reconstitute it with carbonated water? Thus was born...<br /><br />Soda Juice!<br /><br />And I tasted it, and it was Good! Frankly, I found Black Cherry, Kiwi Berry, and Watermelon Strawberry pretty similar in taste, Orange Tangerine more distinctly tart, but I enjoyed all of them.<br /><br />In the cans you have 5 other flavor choices: <a href=""http://www.amazon.com/gp/product/B001LG940E"">The Switch Black Cherry, 8.3 Ounce Cans (Pack of 24)</a>, <a href=""http://www.amazon.com/gp/product/B001LGGH2C"">The Switch Fruit Punch, 8.3 Ounce Cans (Pack of 24)</a>, <a href=""http://www.amazon.com/gp/product/B001LG943G"">The Switch Grape, 8.3 Ounce Cans (Pack of 24)</a>, <a href=""http://www.amazon.com/gp/product/B001LGGH40"">The Switch Kiwi Berry, 8.3 Ounce Cans (Pack of 24)</a>, and <a href=""http://www.amazon.com/gp/product/B001LGGH54"">The Switch Watermelon Strawberry, 8.3 Ounce Cans (Pack of 24)</a>.<br /><br />Since virtually nothing is added, the slight nutritional differences must be due to the characteristics of the different juices being used. Fruit Punch, Orange Tangerine, and Watermelon Strawberry have the highest calories, 140; Kiwi Berry is next, 135; Black Cherry is next, 130; and Grape has the lowest, 125.  Orange Tangerine and Watermelon Strawberry have the highest total carbohydrates, 36g; Black Cherry and Fruit Punch are next, 35g; Kiwi Berry is next, 34g; and Grape has the lowest, 33g. Finally Watermelon Strawberry has the highest sugars, 35g; Fruit Punch and Orange Tangerine are next, 34g; Black Cherry and Kiwi Berry are next, 33g, and Grape is the lowest, 32g.<br /><br />Note: all of these are fruit juice blends so those with fruit juice health concerns need to be aware of more than just the title juice. All contain acerola, apple, and grape juice. In addition to their title juices Kiwi Berry contains raspberry and strawberry, and Fruit Punch contains cherry, lemon, and pineapple.  Orange Tangerine also contains soy.<br /><br />Compare and Contrast: a similar product is worth considering: <a href=""http://www.amazon.com/gp/product/B0014WYY1E"">Izze All Natural Sparkling Juice, Apple, 8.4-Ounce Cans (Pack of 24)</a>, <a href=""http://www.amazon.com/gp/product/B0014WYXYW"">Izze All Natural Sparkling Juice, Blackberry, 8.4-Ounce Cans (Pack of 24)</a>, <a href=""http://www.amazon.com/gp/product/B0014X5O1C"">Izze All Natural Sparkling Juice, Clementine, 8.4-Ounce Cans (Pack of 24)</a>, <a href=""http://www.amazon.com/gp/product/B0014WYXTC"">Izze All Natural Sparkling Juice, Grapefruit, 8.4-Ounce Cans (Pack of 24)</a>, and <a href=""http://www.amazon.com/gp/product/B0014WYXQK"">Izze All Natural Sparkling Juice, Pomegranate, 8.4-Ounce Cans (Pack of 24)</a>.  The difference? The Izze products are fortified with vitamins: B6 and Niacin in addition to C and have roughly three fifths the calories, total carbohydrates, and sugars of The Switch products."
0,"Lipton does taste good but it's not a good quality tea! If you open the tea bag you'll see their not tea leaves but tea dust (cheep). Even the loos lipton tea is described as being ""broken down so you need a fine filter to strain it."" When you steep good tea it should unfurl and look like spinach!<br /><br />They say this tea comes to $0.57 an oz?!?!?! Lets do the math. $27.54 devided by 8oz = $3.44.<br />I buy my tea from Set to a Tea [...]). It's really good tea with flavoring and dried fruit pices. It comes to $3 an oz for a tin or $2.57 for a refill. Weather you buy it loose or in bags you get the same quality tea! I went to a tea party last year (like a tupperware party but more fun) where the chick told us all about the different kinds of tea and gave us samples."
1,"I always liked Orange Crush when I was a kid.  Sure, it was just sugar water with some flavoring, but it was really good flavoring...except it had a chemical whang and an aftertaste that you just had to accept.<br /><br />Well, no more.  Switch Orange Tangerine drink is NOT sugar water.  It's 100% juice, the good stuff, and it's lightly carbonated, not overcarbonated like those sugary soft drinks either.  And no chemical whang!  And no aftertaste!<br /><br />Vitamin C and no added sugar?  I'll take that.  Of course there's sugar content, but it's just the natural sugar that comes in the juice.  Why didn't people think of this stuff when I was a kid?"
3,I just bought a six-pack of Stephen's Gourmet Hot Cocoa mix.  It's pretty good for the price.  My favorite will always be Ghirardelli -- but this does the trick in a pinch.
1,Was looking forward to this drink but was put off by its sweet soda-like taste.  Maybe it's an acquired taste? I'm not sure  but the high calories don't make me want to try.  Looking forward to a diet version.
2,Baby loves to feed herself and these are a great on the go option. We have tried other brands (Gerber) but this is her favorite by far and I don't feel bad giving them to her as I know that they are high quality. Hubby tries to steal a few away here and there as well :)
3,some of the best chocolates i ever tasted. If you are a chocolates lover then you have to try these
1,"Out of all the No Calorie Sweeteners I have tried, I must say that this is the best!  To me, it tastes as close to real sugar as you can get.  I don't drink diet soda or anything artificially sweetened because of the taste. I did not experience gas or bloating from this product as I did with some other sweeteners.  For some reason they have taken this off the supermarket shelves in my state of NJ.  Did find in another state under the store name.  So glad that I can purchase this on Amazon!"
1,"Excellent Pine Apple Juice, but the price is higher on Amazon . Whole Foods sells the lakewood Pine Apple Juice at $5.49 and when on sale  $ 4.49 compared to the Amazon Price of $6.99. No reason for a $1.50 per bottle Price Difference"
2,"I love these foods my first son devoured them happily and now my second son also loves them. This fruit mix has a great variety my sons both love the peach oatmeal banana best. Overall a great product high quality ingredients and they don't taste half bad, I of course had to try them if my boys loved them."
3,I like the rich dark smooth taste of the Grove Square cocoa. It is the best I have found in K-cups and I have been on auto delivery for at least a few months now. Delicious!
3,"The hot chocolate is my husband's favorite.  Service was also great, as it usually is.  Very popular now with winter coming on."
0,Very pretty to drop a few rose buds in a cup of tea but found it to have disappointedly weak rose flavor as a tea itself.<br />Perhaps the other rose teas I've had were infused with flavoring. Not sure.
2,I have to give it to the makers of this line of organic baby food. This stuff is obviously high quality. It smells very fishy even though salmon is not one of the first listed ingredients. Again I was surprised but my little guy wolfed it down repeatedly. I was happy to find an organic fish food for my baby. Thumbs up.
0,"I've always enjoyed a good cup of Earl Grey (especially when coupled with a good book) but have not really gotten loose leaf before. This Rishi Earl Grey is very nice, not overly heavy with no licorice undertones that I really find unappealing in some Earl Gery varieties. The tea takes four minutes to steep, and when done is quite aromatic. I would recommend this one without reservation.<br /><br />*****Update 10-10-2009*****<br /><br />I had to come update this review to express how much I LOVE this tea. It's easily one of the most enjoyable teas I've experienced (I'm drinking a cup of it as I update this review) and it always makes me happy when I brew a cup. This is a lovely tea!"
0,The vendor is fast and dependable. The tea is simply the best way to relax and great tasting too. Highly recommend !!
0,"I've been drinking other brands of black tea, but I'm going to switch to this one. Other English Breakfast mixes taste like strong black tea. Good, but not worth writing about. This one tastes like ... I can't put names to all the things happening in my mouth; but I know the blend is worth every penny."
1,"I'm not a fan of messy gels, or stopping for PowerAde during a race. When I do my own long runs or if I'm doing a half, mess and inconvenience factor aside I also don't want to consume junk. These are organic and contain honey, and while soft & squishy somehow don't get stuck to each other when shoved in a gel pocket during a run. The taste is so delicious that my son tries to swipe them as well!"
1,"It has a nice taste.  Good for sipping.  If you drink soda or juice with your meals, this would be a decent alternative.  The tangerine taste is pronounced but not overpowering.  The carbonation is pleasant.<br /><br />However, it's not a drink I would normally imbibe.  I normally drink either water or beverages sweetened with something other than sugar.  And this has a LOAD of sugar.  Yes, they say it has no added sugar.  That's probably accurate.  But the natural sugar in the apple/tangerine/orange juices in this drink adds up to 34 grams.  Compare that to the same amount of Coke at 27 grams!  I checked a few other tangerine flavored sodas - they all had similar amounts of sugar as Switch.  I suppose tangerines are loaded with sugar.  Anyway, that's a lot more sugar than I normally drink.<br /><br />If the sugar isn't an issue, this is worth checking out."
4,"I started buying this after I noticed my 1 year old cat was already starting to lose his ""spunk"" so I decided it was time to start buying him ""real"" cat food...not the garbage in the super markets. I found this at the pet store out of the other million choices, and I'm sure there are other brands that are just as good but this is the one I went with to try first and it was a great purchase. My cat has been on this for the past 8 months and he's now just has active as he was when he was a kitten and his coat has became sooo soft. Mainly, he loved the taste even more! I highly recommend this brand to all my friends and family for their animals!"
0,"I was pretty skeptical that this tea could actually do anything for my ""winter stuffies"" but I really don't like the idea of over-medicating myself with prescriptions and otc drugs either, so I figured I'd give it a shot. Imagine my pleased surprise to find out this tea is both a soothing drinking experience and also...actually works! It has a nice, herby taste and not over-licoricey at all (which I feared, not being a fan.) Really nice with a drop of honey. And then, amazingly enough, my nose and lungs feel open and clear for hours after drinking this tea. One cup, and I ran back to my computer to order a subscription!"
3,"This hot chocolate is great am so glad I doubled the order ,you can not miss with this .Now I have quick hot chocolate for the kids and grandkids"
3,"When I got my Keurig brewer last month, I bought two different types of hot chocolate.  The Grove Square Hot Chocolate is far superior.  I have so far brewed it on 6oz and 8oz with good flavor at both sizes.  The flavor is rich and it leaves no residue in the bottom of the kcup (the other brand does, maybe I got a bad batch?).  Overall, I will happily buy this one again."
3,"These are the only kind of cocoa k-cups I have tried, as I have a fairly new machine. My only complaint is that it seems like the taste of chocolate in the milk chocolate version needs a bit of a boost. However, I usually add another teaspoon of regular cocoa mix and the taste is great. The peppermint and dark chocolate k-cups are delicious. Definitely worth a shot for this great price!"
1,"""Switch `Orange Tangerine'"" is advertized as 100% juice with carbonation.  They were accurate as far as the 100% juice and (light) carbonation goes, but imagine my disappointment when I checked the ingredients, and I read the following: ""100% juice (filtered sparkling water sufficient to reconstitute juice concentrates, apple, grape, tangerine, orange, and acerola juice concentrates)...<br /><br />BTW - acerola is also known by the common names Barbados cherry and wild crapemyrtle. It's a berry that has extremely high amounts of Vit C.<br /><br />Anyway, back to the drink.  When I ordered this item I was expecting a carbonated ""orange tangerine"" drink, but that was not the taste I got.  After all, tangerine and orange are present in smaller amounts than grape and apple juices.  As a result this drink had a flavor more like a mixture of sparkling grape and sparking apple combined, with somewhat of a light citrus twist, but less carbonation than either sparkling grape or sparkling apple have.<br /><br />The overall flavor of ""Switch"" was all right, but it was not, in my opinion ""orange tangerine"" at all.  In that respect this drink was a great disappointment.  The manufacturer would have been more accurate to name this drink ""fruit punch"" or ""fruit cocktail"" or perhaps ""grape-apple"".  There is, by the way, already a ""fruit punch"" version...I wonder what's in that flavor that's not in this one?<br /><br />The can size is just adequate at 8.3 oz, but is, I would say, fairly expensive at nearly $1/can, especially when it's not what you thought you were getting.<br /><br />The drink does, to its credit, have 100% of the recommended daily amount of Vit C, and has only natural juices in it.  That is probably true, but...THIS IS NOT A DIET DRINK.  Just because the can says ""no sugar added"", that doesn't mean that there's no sugar in it.  There happens to be a significant amount of sugar in this drink (given the total volume you get/can)...if I recall correctly the contents label said 35g of sugar.  That's because 100% fruit juice is loaded with sugar, sugar like fructose.<br /><br />OK, frankly, the taste combo doesn't particularly appeal to me, that's why I didn't order the grape version of this product, and now that I know what's in the ""orange tangerine"" I wouldn't order it again.<br /><br />I'm torn between 2 and 3 stars though, simply because it's not really an orange-tangerine drink as advertized.  I guess I'll have to go with 2 stars.  (I don't know why 3 stars showed up for this product!?)  Alas..."
0,"I go along with a number of reviewers that this isn't a very strong tea.  It has a nice mild malty taste that holds up to milk and sugar but if you try to get it to a strong malty taste it gets bitter.  But the price is good, it comes with rapid Amazon shipping, and it is better than anything from the grocery store.  And it is organic.  So, overall, I'm good with it.  For a bit more though you can get a stronger malty organic tea from one of the other on-line bulk tea stores."
0,"Same great taste as the honeybush tea bags, but so much more green!  Thank you for packaging this in bulk!"
1,"I love cherry soda, but this product is the best cherry soda  that I have ever tasted.  Sweet and slightly tart at one and the same time.  Try it once, and you will be hooked for good."
4,"We have two cats and four dogs. The cats seemed to like this treat but the dogs turned up their noses at it. One of them, a Chiweenee, eats just about everything and he would not touch it. He tried it and left it laying on the floor."
0,I love this tea. It helps curb my eating during the day. My Mom and I have given it all friends to try.
0,Awesome tasting Tea in a 16 oz. can!  I highly recommend this product because it taste great and doesn't cost a lot.
1,"I usually find the citrus sodas too tart/acidic for my tastes, and I find the black cherry Fresca too cloyingly sweet. I LOVE the peach; it's so crisp and refreshing without being acidic, and is just the right sweet for me. Other than ginger ale, it's my favorite ""white"" soda. I have been having trouble finding this in the grocery, and really hope it hasn't been discontinued."
4,"I honestly have to say that I just won't buy this variety. It looks bad, smells bad and I'm sure tastes bad because my cat won't touch it.  No way, no how, won't even look at it.  My other cat was the same way with this one.  It just looks like a huge ground up mess of leftovers they had at a fish market.  I'm sure some cats must like it because it's still being made, but there's other things out there much, much better than this one."
2,"What a GREAT idea!!!! My daughter love it.<br />I don't think is difficult to wash, I mean, is not like just toss water and that's it... but, come on!!!!<br />Absolutely recommend it!"
0,"Classic Assam Estate tea, malty, full-bodied, medium-strength organic black tea with a slightly sweet aroma and aftertaste (clearly a second flush offering; the first flush pickings have a Darjeeling-like astringency).  Very drinkable by as is, but does very nicely with a spot of milk.  I will purchase this tea again.  Highly recommended."
0,I found Davidson's Banaspaty Estate Assam tea to be a very good Assam at a very reasonable price. The only reason I didn't give it five stars is that I've had better but at more than twice the price. Davidson's is the hands-down winner on value. This is the second time I've purchased it and I intend to buy more in the future.
2,"I ordered this product at the same time as the Kirkland Signature salmon.  The Raincoast Trading Co. salmon is very tasty, equally as good quality salmon as the Kirkland.  However, the Raincoast arrived in perfect condition, the Kirkland cans were dented badly.  I recommend this product to anyone who likes boneless skinless canned salmon."
1,"The Switch Orange Tangerine soda is an attempt to made a fruit soda with real fruit juice, real fruit flavor, and no added sugar.  They have mostly succeeded.  In the glass, the Switch looks like juice.  It is lightly but distinctly carbonated and easy to drink.  The orange and tangerine flavors are true - none of the ""burn"" of fake orange flavor.  The hit of tangerine is really nice and I greatly enjoyed the flavor.  My problem with the Switch was that it was too sweet for my taste.  I was surprised at the how sweet it was given the advertised ""no added sugar"".  The ingredient list mentions grape and apple juice concentrates.  That's how they get the sugars in without adding sugar.  Fruit juice concentrates are loaded with natural fruit sugars.  The nutritional label tells the story:  the 8.3 oz can has 34 grams of sugar!  That's more than Cocoa Cola (27 grams per 8 oz).  Bottom line - this is just too sweet for me.  It's too bad because the flavors are awesome.  If you have a sweet tooth, maybe this is for you."
0,Now let me start by saying I did not buy this tea as a diet supplement. I bought this because I tried it from a local store as I was looking for a tea that had some peppermint in it but not so much it was over-powering like a full peppermint tea. This has just the right amount of peppermint combined with a green tea. Overall it is a pleasant taste that I could drink all day.
